Target Schema,Query Attribute,Matched Attribute,Confidence Score,Match Type
MpoxInternational,symptom_onset_date,symptom_onset_date,100.0%,Exact
MpoxInternational,destination_of_most_recent_travel_state_province_territory,destination_of_most_recent_travel_state_province_territory,100.0%,Exact
MpoxInternational,host_health_outcome,host_health_outcome,100.0%,Exact
MpoxInternational,authors,authors,100.0%,Exact
MpoxInternational,body_product,body_product,100.0%,Exact
MpoxInternational,host_disease,host_disease,100.0%,Exact
MpoxInternational,destination_of_most_recent_travel_country,destination_of_most_recent_travel_country,100.0%,Exact
MpoxInternational,amplicon_pcr_primer_scheme,amplicon_pcr_primer_scheme,100.0%,Exact
MpoxInternational,sample_collection_date,sample_collection_date,100.0%,Exact
MpoxInternational,insdc_sequence_read_accession,insdc_sequence_read_accession,100.0%,Exact
MpoxInternational,signs_and_symptoms,signs_and_symptoms,100.0%,Exact
MpoxInternational,prior_mpox_antiviral_treatment,prior_mpox_antiviral_treatment,100.0%,Exact
MpoxInternational,host_health_state,host_health_state,100.0%,Exact
MpoxInternational,exposure_setting,exposure_setting,100.0%,Exact
MpoxInternational,sequence_submitter_contact_address,sequence_submitter_contact_address,100.0%,Exact
MpoxInternational,amplicon_size,amplicon_size,100.0%,Exact
MpoxInternational,breadth_of_coverage_value,breadth_of_coverage_value,100.0%,Exact
MpoxInternational,anatomical_part,anatomical_part,100.0%,Exact
MpoxInternational,vaccination_history,vaccination_history,100.0%,Exact
MpoxInternational,destination_of_most_recent_travel_city,destination_of_most_recent_travel_city,100.0%,Exact
MpoxInternational,purpose_of_sampling_details,purpose_of_sampling_details,100.0%,Exact
MpoxInternational,diagnostic_pcr_ct_value_5,diagnostic_pcr_ct_value_3,96.0%,Fuzzy
MpoxInternational,vaccination_dose_1_vaccine_name,vaccination_dose_1_vaccine_name,100.0%,Exact
MpoxInternational,diagnostic_pcr_ct_value_3,diagnostic_pcr_ct_value_3,100.0%,Exact
MpoxInternational,r2_fastq_filepath,r2_fastq_filepath,100.0%,Exact
MpoxInternational,gisaid_accession,gisaid_accession,100.0%,Exact
MpoxInternational,depth_of_coverage_threshold,depth_of_coverage_threshold,100.0%,Exact
